"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","17,420.18","17,524.83","17,557.70","17,358.57","-","-1.30%"
"May 11, 2020","17,650.40","17,642.71","17,822.42","17,604.81","-","1.09%"
"May 08, 2020","17,460.18","17,354.75","17,495.05","17,323.72","-","1.40%"
"May 07, 2020","17,219.58","17,288.19","17,290.52","17,167.54","-","-0.53%"
"May 06, 2020","17,312.06","17,109.15","17,392.56","17,109.15","-","1.23%"
"May 05, 2020","17,102.05","17,021.18","17,155.19","16,988.48","-","1.05%"
"May 04, 2020","16,924.08","17,199.53","17,211.17","16,877.80","-","-4.45%"
"Apr 30, 2020","17,711.71","17,711.71","17,711.71","17,711.71","-","0.80%"
"Apr 29, 2020","17,571.46","17,571.46","17,571.46","17,571.46","-","0.00%"
"Apr 28, 2020","17,571.46","17,444.38","17,591.11","17,294.77","-","1.17%"
"Apr 27, 2020","17,368.73","17,160.76","17,427.09","17,147.26","-","2.19%"
"Apr 24, 2020","16,997.23","17,026.07","17,110.46","16,946.08","-","-0.47%"
"Apr 23, 2020","17,078.34","17,143.47","17,237.09","16,995.35","-","0.15%"
"Apr 22, 2020","17,052.12","16,763.14","17,094.46","16,763.14","-","0.61%"
"Apr 21, 2020","16,948.68","17,211.53","17,224.57","16,861.37","-","-2.00%"
"Apr 20, 2020","17,295.36","17,285.99","17,407.63","17,169.27","-","0.16%"
"Apr 17, 2020","17,267.40","17,317.98","17,457.98","17,243.62","-","1.44%"
"Apr 16, 2020","17,022.06","17,016.78","17,111.17","16,952.77","-","-0.42%"
"Apr 15, 2020","17,093.78","17,317.66","17,418.41","17,079.40","-","-1.24%"
"Apr 14, 2020","17,309.02","17,253.84","17,362.54","17,180.69","-","0.40%"
"Apr 10, 2020","17,240.33","17,240.33","17,240.33","17,240.33","-","0.00%"
"Apr 09, 2020","17,240.33","17,177.76","17,266.63","17,096.08","-","1.22%"
"Apr 08, 2020","17,032.22","17,238.66","17,238.66","16,997.27","-","-1.59%"
"Apr 07, 2020","17,306.75","17,206.01","17,323.11","17,016.61","-","1.89%"
"Apr 06, 2020","16,986.48","16,958.95","17,071.06","16,644.29","-","1.66%"
"Apr 03, 2020","16,709.93","16,678.29","16,797.59","16,602.69","-","-0.65%"
"Apr 02, 2020","16,819.46","16,378.41","16,819.46","16,378.41","-","1.37%"
"Apr 01, 2020","16,592.34","16,699.49","16,983.62","16,508.18","-","-1.72%"
"Mar 31, 2020","16,883.34","16,829.69","16,883.34","16,597.18","-","2.65%"
"Mar 30, 2020","16,447.26","16,252.12","16,670.39","16,247.59","-","-0.91%"
"Mar 27, 2020","16,599.09","16,832.87","16,846.73","16,518.16","-","0.62%"
"Mar 26, 2020","16,497.17","16,503.33","16,710.01","16,392.08","-","-0.88%"
"Mar 25, 2020","16,643.98","16,415.08","16,694.44","16,328.70","-","4.00%"
"Mar 24, 2020","16,003.10","15,885.90","16,094.97","15,800.54","-","4.82%"
"Mar 23, 2020","15,267.20","15,168.55","15,525.49","15,154.17","-","-4.31%"
"Mar 20, 2020","15,955.20","15,309.08","15,955.20","15,309.08","-","7.01%"
"Mar 19, 2020","14,910.64","15,235.51","15,328.46","14,487.83","-","-2.96%"
"Mar 18, 2020","15,365.74","15,924.04","16,211.03","15,293.43","-","-4.62%"
"Mar 17, 2020","16,110.78","16,044.06","16,324.00","15,661.12","-","-0.15%"
"Mar 16, 2020","16,134.95","16,423.15","16,584.36","15,919.69","-","-4.43%"
"Mar 13, 2020","16,883.31","15,821.44","17,011.42","15,809.78","-","-1.01%"
"Mar 12, 2020","17,056.03","17,260.90","17,260.90","16,898.77","-","-3.56%"
"Mar 11, 2020","17,686.17","17,851.98","17,915.41","17,613.11","-","-0.82%"
"Mar 10, 2020","17,831.55","17,752.59","17,993.49","17,475.04","-","1.79%"
"Mar 09, 2020","17,518.81","17,604.62","17,742.77","17,432.88","-","-4.72%"
"Mar 06, 2020","18,386.62","18,564.64","18,591.20","18,350.04","-","-2.52%"
"Mar 05, 2020","18,861.05","18,560.95","18,897.69","18,498.36","-","1.99%"
