"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","31,371.12","31,342.93","31,536.89","30,844.66","23.13M","-0.60%"
"May 11, 2020","31,561.22","32,030.34","32,301.58","31,500.87","18.07M","-0.26%"
"May 08, 2020","31,642.70","32,083.32","32,088.51","31,598.00","15.87M","0.63%"
"May 07, 2020","31,443.38","31,677.69","31,705.25","31,362.87","19.87M","-0.76%"
"May 06, 2020","31,685.75","31,577.63","31,970.84","31,158.75","19.21M","0.74%"
"May 05, 2020","31,453.51","32,182.90","32,264.00","31,403.57","19.17M","-0.83%"
"May 04, 2020","31,715.35","32,748.14","32,748.14","31,632.02","18.34M","-5.94%"
"Apr 30, 2020","33,717.62","33,381.19","33,887.25","33,354.93","21.08M","3.05%"
"Apr 29, 2020","32,720.16","32,311.04","32,897.59","32,171.65","15.95M","1.89%"
"Apr 28, 2020","32,114.52","32,101.91","32,199.91","31,661.34","15.61M","1.17%"
"Apr 27, 2020","31,743.08","31,659.04","32,103.70","31,651.58","12.86M","1.33%"
"Apr 24, 2020","31,327.22","31,426.62","31,842.24","31,278.27","17.57M","-1.68%"
"Apr 23, 2020","31,863.08","31,646.45","31,959.02","31,292.92","24.37M","1.54%"
"Apr 22, 2020","31,379.55","30,856.14","31,471.14","30,578.55","21.04M","2.42%"
"Apr 21, 2020","30,636.71","30,836.19","30,900.12","30,378.26","19.67M","-3.20%"
"Apr 20, 2020","31,648.00","32,056.19","32,056.47","31,490.26","17.21M","0.19%"
"Apr 17, 2020","31,588.72","31,656.68","31,718.73","30,960.94","22.22M","3.22%"
"Apr 16, 2020","30,602.61","30,095.51","30,800.20","30,016.17","16.86M","0.73%"
"Apr 15, 2020","30,379.81","31,277.11","31,568.36","30,222.07","23.62M","-1.01%"
"Apr 13, 2020","30,690.02","31,195.72","31,195.72","30,474.15","16.14M","-1.51%"
"Apr 09, 2020","31,159.62","30,571.19","31,225.20","30,420.22","18.77M","4.23%"
"Apr 08, 2020","29,893.96","29,701.92","31,227.97","29,602.94","24.70M","-0.58%"
"Apr 07, 2020","30,067.21","28,898.36","30,157.65","28,602.31","21.87M","8.97%"
"Apr 03, 2020","27,590.95","28,623.53","28,639.12","27,500.79","18.91M","-2.39%"
"Apr 01, 2020","28,265.31","29,505.33","29,505.98","28,073.43","18.00M","-4.08%"
"Mar 31, 2020","29,468.49","29,294.94","29,770.88","28,667.36","26.40M","3.62%"
"Mar 30, 2020","28,440.32","29,226.55","29,497.57","28,290.99","23.24M","-4.61%"
"Mar 27, 2020","29,815.59","30,747.81","31,126.03","29,346.99","116.92M","-0.44%"
"Mar 26, 2020","29,946.77","29,073.71","30,099.91","28,566.34","35.01M","4.94%"
"Mar 25, 2020","28,535.78","26,499.81","28,790.19","26,359.91","141.50M","6.98%"
"Mar 24, 2020","26,674.03","27,056.23","27,462.87","25,638.90","24.68M","2.67%"
"Mar 23, 2020","25,981.24","27,608.80","27,900.83","25,880.83","21.79M","-13.15%"
"Mar 20, 2020","29,915.96","28,460.82","30,418.20","27,932.67","32.11M","5.75%"
"Mar 19, 2020","28,288.23","27,773.36","29,370.53","26,714.46","33.15M","-2.01%"
"Mar 18, 2020","28,869.51","30,968.84","31,101.77","28,613.05","31.29M","-5.59%"
