"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","97,845.20","98,902.63","99,514.39","97,671.82","2.60B","-0.56%"
"May 07, 2020","98,398.81","98,579.92","99,273.48","97,799.59","2.39B","-0.18%"
"May 06, 2020","98,571.46","98,886.10","99,280.05","98,069.46","2.28B","-0.17%"
"May 05, 2020","98,737.52","99,634.33","99,791.34","97,880.46","2.04B","-0.11%"
"May 04, 2020","98,842.24","100,253.75","100,253.75","98,305.57","1.70B","-2.24%"
"Apr 30, 2020","101,110.11","101,995.53","102,328.43","99,359.52","2.32B","-0.48%"
"Apr 29, 2020","101,595.33","101,212.50","101,742.67","100,579.05","2.14B","0.88%"
"Apr 28, 2020","100,707.48","101,543.42","101,917.52","100,621.07","2.48B","-0.55%"
"Apr 27, 2020","101,267.36","100,086.33","101,360.57","100,086.33","2.56B","2.54%"
"Apr 24, 2020","98,758.96","98,449.46","99,497.08","97,929.33","2.24B","0.60%"
"Apr 22, 2020","98,170.98","98,129.45","98,961.78","97,896.60","2.29B","0.57%"
"Apr 21, 2020","97,619.00","98,368.45","98,503.31","97,275.89","2.23B","-1.34%"
"Apr 20, 2020","98,945.88","98,661.63","99,266.68","98,068.00","2.21B","0.78%"
"Apr 17, 2020","98,179.82","98,287.16","98,758.54","97,600.99","2.33B","2.01%"
"Apr 16, 2020","96,249.09","96,705.97","97,064.94","95,330.43","2.09B","0.41%"
"Apr 15, 2020","95,854.92","98,944.92","99,044.20","94,602.49","2.44B","-2.73%"
"Apr 14, 2020","98,549.80","97,491.12","98,630.37","97,272.72","2.40B","2.23%"
"Apr 13, 2020","96,398.64","95,463.15","97,312.49","95,019.03","1.99B","-0.07%"
"Apr 10, 2020","96,470.97","96,201.32","97,482.88","95,352.47","2.23B","0.66%"
"Apr 09, 2020","95,834.44","94,275.35","95,834.44","93,629.34","2.85B","2.80%"
"Apr 08, 2020","93,225.22","92,481.70","93,275.21","91,803.35","1.69B","0.91%"
"Apr 07, 2020","92,381.82","93,174.07","94,778.62","92,381.82","2.82B","0.34%"
"Apr 06, 2020","92,071.13","90,989.07","92,157.54","90,630.58","1.79B","2.81%"
"Apr 03, 2020","89,552.61","89,614.06","89,968.77","89,043.06","1.57B","0.05%"
"Apr 02, 2020","89,510.88","89,748.48","90,408.82","88,081.88","2.38B","0.48%"
"Apr 01, 2020","89,085.13","88,285.83","90,399.16","87,888.61","2.54B","-0.62%"
