"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","10,904.48","10,882.44","10,918.32","10,819.07","81.80M","1.35%"
"May 07, 2020","10,759.27","10,640.77","10,761.86","10,617.23","102.15M","1.44%"
"May 06, 2020","10,606.20","10,716.51","10,773.86","10,598.90","94.91M","-1.15%"
"May 05, 2020","10,729.46","10,627.07","10,736.95","10,518.94","103.77M","2.51%"
"May 04, 2020","10,466.80","10,543.36","10,578.43","10,426.06","140.43M","-3.64%"
"Apr 30, 2020","10,861.64","11,195.21","11,235.57","10,839.30","162.73M","-2.22%"
"Apr 29, 2020","11,107.74","10,812.74","11,125.35","10,789.52","145.35M","2.89%"
"Apr 28, 2020","10,795.63","10,658.47","10,897.82","10,651.58","146.55M","1.27%"
"Apr 27, 2020","10,659.99","10,551.07","10,660.36","10,523.10","122.48M","3.13%"
"Apr 24, 2020","10,336.09","10,299.31","10,486.47","10,299.31","120.04M","-1.69%"
"Apr 23, 2020","10,513.79","10,437.38","10,608.39","10,325.11","97.91M","0.95%"
"Apr 22, 2020","10,415.03","10,370.25","10,425.02","10,321.20","92.39M","1.61%"
"Apr 21, 2020","10,249.85","10,519.44","10,524.73","10,249.85","121.19M","-3.99%"
"Apr 20, 2020","10,675.90","10,704.35","10,707.31","10,444.55","103.61M","0.47%"
"Apr 17, 2020","10,625.78","10,607.35","10,756.78","10,542.71","143.34M","3.15%"
"Apr 16, 2020","10,301.54","10,420.26","10,438.37","10,236.24","106.13M","0.21%"
"Apr 15, 2020","10,279.76","10,678.19","10,678.19","10,243.11","133.09M","-3.90%"
"Apr 14, 2020","10,696.56","10,733.97","10,820.17","10,658.96","106.04M","1.25%"
