"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","24,331.32","24,107.82","24,349.90","24,107.05","337.34M","1.91%"
"May 07, 2020","23,875.89","23,837.21","24,094.62","23,834.39","371.68M","0.89%"
"May 06, 2020","23,664.64","23,978.88","24,054.59","23,661.14","379.91M","-0.91%"
"May 05, 2020","23,883.09","23,958.88","24,169.72","23,868.91","374.49M","0.56%"
"May 04, 2020","23,749.76","23,581.55","23,769.56","23,361.16","358.39M","0.11%"
"May 01, 2020","23,723.69","24,120.78","24,120.78","23,645.30","421.59M","-2.55%"
"Apr 30, 2020","24,345.72","24,585.57","24,585.57","24,186.90","487.84M","-1.17%"
"Apr 29, 2020","24,633.86","24,490.37","24,764.77","24,453.99","462.48M","2.21%"
"Apr 28, 2020","24,101.55","24,357.17","24,512.24","24,031.20","405.71M","-0.13%"
"Apr 27, 2020","24,133.78","23,866.15","24,207.65","23,840.61","391.02M","1.51%"
"Apr 24, 2020","23,775.27","23,628.24","23,826.00","23,417.68","379.31M","1.11%"
"Apr 23, 2020","23,515.26","23,543.09","23,885.36","23,483.35","393.57M","0.17%"
"Apr 22, 2020","23,475.82","23,437.34","23,613.10","23,339.60","356.39M","1.99%"
"Apr 21, 2020","23,018.88","23,365.25","23,365.25","22,941.88","487.65M","-2.67%"
"Apr 20, 2020","23,650.44","24,095.10","24,108.69","23,627.19","427.35M","-2.44%"
"Apr 17, 2020","24,242.49","23,817.15","24,264.21","23,817.15","530.28M","2.99%"
"Apr 16, 2020","23,537.68","23,543.66","23,598.08","23,211.38","478.62M","0.14%"
"Apr 15, 2020","23,504.35","23,600.72","23,649.72","23,233.32","442.15M","-1.86%"
"Apr 14, 2020","23,949.76","23,690.57","24,040.58","23,683.44","487.96M","2.39%"
"Apr 13, 2020","23,390.77","23,698.93","23,698.93","23,095.35","396.56M","-1.39%"
