"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","6,783.10","6,790.70","6,807.40","6,715.40","128.58M","0.78%"
"May 07, 2020","6,730.90","6,714.90","6,747.20","6,666.40","167.46M","0.89%"
"May 06, 2020","6,671.70","6,719.80","6,762.50","6,666.20","166.02M","-1.13%"
"May 05, 2020","6,747.70","6,772.20","6,815.90","6,680.70","203.87M","1.11%"
"May 04, 2020","6,673.30","6,767.70","6,767.70","6,673.30","241.56M","-3.60%"
"Apr 30, 2020","6,922.30","7,084.80","7,128.40","6,918.30","314.98M","-1.89%"
"Apr 29, 2020","7,055.70","6,829.40","7,055.70","6,816.80","247.76M","3.21%"
"Apr 28, 2020","6,836.40","6,724.60","6,857.90","6,707.90","233.78M","1.55%"
"Apr 27, 2020","6,731.80","6,780.90","6,790.10","6,667.30","147.26M","1.78%"
"Apr 24, 2020","6,613.90","6,641.30","6,710.80","6,578.10","182.93M","-1.97%"
"Apr 23, 2020","6,746.50","6,758.70","6,797.60","6,713.60","163.72M","0.40%"
"Apr 22, 2020","6,719.80","6,685.10","6,729.60","6,654.20","177.93M","1.28%"
"Apr 21, 2020","6,634.90","6,741.30","6,760.90","6,634.90","200.78M","-2.88%"
"Apr 20, 2020","6,831.50","6,932.50","6,933.30","6,715.00","186.64M","-0.64%"
"Apr 17, 2020","6,875.80","6,942.50","7,000.30","6,845.00","251.27M","1.66%"
"Apr 16, 2020","6,763.40","6,930.80","6,950.90","6,733.10","237.96M","-1.11%"
"Apr 15, 2020","6,839.50","7,065.60","7,086.80","6,816.40","289.92M","-3.79%"
"Apr 14, 2020","7,108.60","7,209.70","7,209.70","7,080.30","259.99M","0.54%"
